100,Removals and Storage,removalstorage,c9117,5
101,Sports and Fitness Training,sportfitnestraining,c9111,5
102,Tax and Financial Services,tax-financial-services,c9118,5
103,Tutors and Education Services,tutoreducation-services,c9545,5
104,Travel Agents and Tours,travel-agenttours,c9119,5
105,Wedding Venues and Wedding Services,wedding-venuewedding-services,c9120,5
106,Other services,other-services,c9066,5
107,Generators and Solar Power,generatorsolar-power,c9751,6
108,Lighting and Lamps,lighting-lamps,c9290,6
109,Home Improvement,home-improvement-renovations,c9306,6
110,Antiques and Collectables,antiquecollectables,c9180,6
111,Furniture,furniture,c9181,6
112,Garden and Braai,garden-braai,c9182,6
113,Home Decor,home-decor-interiors,c9183,6
114,Home Appliances,home-appliances,c9184,6
115,Hand Tools and Power Tools,diy-tools,c9185,6
116,Other Home and Garden,other,c9228,6
117,Wearable Technology,wearable-technology,c9768,7
118,Drones and Gadgets,dronegadgets,c9774,7
119,Solar Powered Electronics,solar-powered-electronics,c9785,7
120,"Printers Scanners and Ink",printerscannerink,c9479,7
121,Cell Phones and Accessories,cell-phoneaccessories,c9198,7
122,Computers and Laptops,computerlaptops,c9199,7
123,"Cameras Video Cameras and Photography",cameravideo-cameraphotography,c9200,7
124,Gaming and Consoles,gaming-consoles,c9201,7
125,"TVs Displays and DVD's",tvdisplaydvd-s,c9202,7
126,Audio and Sound Equipment,audio-sound-equipment,c9203,7
127,Other Electronics,other-electronics,c9227,7
128,Baby and Kids Clothing,kidclothing,c9186,8
129,Kids Furniture and Nursery,kidbaby-furniture,c9187,8
130,Car Seats and Travel,car-seattravel,c9188,8
131,Prams and Strollers,pramstrollers,c9189,8
132,Baby Proofing and Home Safety,baby-proofing,c9190,8
133,Maternity and Pregnancy,maternity-pregnancy,c9191,8
134,Nursery,nursery,c9380,8
135,Baby and Kids Toys,toys,c9192,8
136,Baby Activity Centres and Walkers,baby-activity-centres,c9640,8
137,Baby Baths and Potties,baby-baths,c9641,8
138,Other,other-itemfor-babiekids,c9230,8
139,Feeding and Accessories,baby-feeding-products,c9385,8
140,Boats and Jet Skis,boatjet-skis,c9102,9
141,Yachts and Sailboats,yachtsailboats,c9103,9
142,Kayaks and Paddle Boats,kayakpaddle-boats,c9220,9
143,Boat Parts and Accessories,boat-partaccessories,c9104,9
144,Other Watercraft,other-watercraft,c9105,9
145,Businesses For Sale,businessefor-sale,c9172,10
146,Office Equipment and Furniture,office-equipment-furniture,c9173,10
147,Store and Catering Equipment,store-catering-equipment,c9174,10
148,Industrial Machinery,industrial-machinery,c9221,10
149,Other,other-business+to+businesitemfor-sale,c9231,10
150,Clothing,clothing,c9193,11
151,Shoes,shoes,c9194,11
152,Accessories,accessories,c9195,11
153,Wedding Wear,wedding-wear,c9196,11
154,Jewellery and Watches,jewellery-watches,c9197,11
155,Other,other-fashion-items,c9229,11
156,Birds,birds,c9222,12
157,Dogs and Puppies,dogpuppies,c9123,12
158,Cats and Kittens,catkittens,c9124,12
159,Fish,fish,c9224,12
160,Horses and Ponies,horseponies,c9141,12
161,Livestock and Poultry,livestock-poultry,c9140,12
162,Reptiles,reptiles,c9225,12
163,Other Pets,other-pets,c9125,12
164,Pet Accessories,pet-accessories,c9226,12
165,Camping Gear,camping-gear,c9235,13
166,Bicycles and Cycling,bicyclecycling,c9558,13
167,Sports and Fitness Gear,sportfitnesgear,c9204,13
168,Books and Games,bookgames,c9205,13
169,Musical Instruments,musical-instruments,c9206,13
170,CD and DVD,cd-dvd,c9207,13
171,Tickets,tickets,c9208,13
172,Other,other-sportleisure-items,c9232,13
173,Activities and Hobbies,activitiehobbies,c9030,15
174,Classes and Adult Education,classeadult-education,c9031,15
175,Lost and Found,lost-found,c9032,15
176,Musicians and Artists,musicianartists,c9033,15
177,Carpool and Rideshare,carpool-rideshare,c9035,15
178,Language Courses and Training,language-coursetraining,c9036,15
179,Sports and Sports Partners,sportsportpartners,c9037,15
180,Travel Partners and Companions,travel-partnercompanions,c9038,15
181,Missed Connections,missed-connectionwith-people,c9130,15
182,Other,other-community-posts,c9039,15
183,"Events Gigs and Nightlife",eventgignightlife,c9068,16
