241,Giyani,giyani,l3100678,5,
242,Lebowakgomo,lebowakgomo,l3100679,5,
243,Marblehall,marblehall,l3100683,5,
244,Mankweng,mankweng,l3100682,5,
245,Dendron,dendron,l3100600,5,
246,Nkowankowa,nkowankowa,l3100687,5,
247,Modjadji / Duiwelskloof,modjadji-duiwelskloof,l3100684,5,
248,Lulekani,lulekani,l3100681,5,
249,Mutale,mutale,l3100686,5,
250,Thulamela,thulamela,l3100691,5,
251,Soekmekaar,soekmekaar,l3100688,5,
252,Witbank,witbank,l3100404,6,
253,Mbombela / Nelspruit,mbombela-nelspruit,l3100395,6,
254,Secunda,secunda,l3100402,6,
255,Other Mpumalanga,other-mpumalanga,l3100605,6,
256,Witrivier,witrivier,l3100396,6,
257,Delmas,delmas,l3100399,6,
258,Ermelo,ermelo,l3100416,6,
259,Komatipoort,komatipoort,l3100654,6,
260,Lydenburg,lydenburg,l3100407,6,
261,Hazyview,hazyview,l3100393,6,
262,New-Location,new+location,l3100409,6,
263,Malelane,malelane,l3100394,6,
264,Dullstroom,dullstroom,l3100406,6,
265,Barberton,barberton,l3100391,6,
266,Groblersdal,groblersdal,l3100653,6,
267,Bethal,bethal,l3100398,6,
268,Standerton,standerton,l3100403,6,
269,Trichardt,trichardt,l3100705,6,
270,Piet Retief,piet-retief,l3100417,6,
271,Balfour,balfour,l3100397,6,
272,Machadodorp,machadodorp,l3100408,6,
273,Bushbuckridge,bushbuckridge,l3100392,6,
274,Sabie,sabie,l3100410,6,
275,Ekangala,ekangala,l3100650,6,
276,Carolina,carolina,l3100649,6,
277,Embalenhle,embalenhle,l3100651,6,
278,eMakhazeni / Belfast,emakhazeni-belfast,l3100405,6,
279,Wakkerstroom,wakkerstroom,l3100419,6,
280,Empuluzi,empuluzi,l3100652,6,
281,Greylingstad,greylingstad,l3100400,6,
282,Kriel,kriel,l3100401,6,
283,Hendrina,hendrina,l3100415,6,
284,Siyabuswa,siyabuswa,l3100658,6,
285,Breyten,breyten,l3100648,6,
286,Ogies / Phola,ogies-phola,l3100657,6,
287,Volksrust,volksrust,l3100418,6,
288,Leslie / Lebogang,leslie-lebogang,l3100656,6,
289,KwaNgema,kwangema,l3100655,6,
290,Kimberley,kimberley,l3100489,7,
291,Upington,upington,l3100501,7,
292,Carnarvon,carnarvon,l3100664,7,
293,Alexander Bay,alexander-bay,l3100494,7,
294,Other Northern Cape,other-northern-cape,l3100602,7,
295,Kathu,kathu,l3100668,7,
296,Kuruman,kuruman,l3100492,7,
297,Port Nolloth,port-nolloth,l3100671,7,
298,Springbok,springbok,l3100495,7,
299,Calvinia,calvinia,l3100478,7,
300,Barkly West,barkly-west,l3100486,7,
301,Keimoes,keimoes,l3100498,7,
302,De Aar,de-aar,l3100483,7,
303,Mier,mier,l3100669,7,
304,Beeshoek,beeshoek,l3100491,7,
305,Fraserburg,fraserburg,l3100479,7,
306,Sutherland,sutherland,l3100480,7,
307,Prieska,prieska,l3100672,7,
308,Groblershoop,groblershoop,l3100667,7,
309,Postmasburg,postmasburg,l3100500,7,
310,Victoria West,victoria-west,l3100484,7,
311,Garies,garies,l3100665,7,
312,Colesberg,colesberg,l3100482,7,
313,Hartswater,hartswater,l3100487,7,
314,Jan Kempdorp,jan-kempdorp,l3100488,7,
315,Vanderkloof,vanderkloof,l3100675,7,
316,Ritchie,ritchie,l3100673,7,
317,Warrenton,warrenton,l3100676,7,
318,Griekwastad,griekwastad,l3100666,7,
319,Danielskuil,danielskuil,l3100497,7,
320,Pofadder,pofadder,l3100499,7,
321,Strydenburg,strydenburg,l3100674,7,
322,Pampierstad,pampierstad,l3100670,7,
323,Douglas,douglas,l3100701,7,
324,Aggeneys,aggeneys,l3100702,7,
325,Rustenburg,rustenburg,l3100521,8,
326,Hartbeespoort,hartbeespoort,l3100518,8,
327,Potchefstroom,potchefstroom,l3100507,8,
328,Klerksdorp,klerksdorp,l3100505,8,
329,Brits,brits,l3100517,8,
330,Other North West,other-north-west,l3100603,8,
331,Stilfontein,stilfontein,l3100508,8,
332,Zeerust,zeerust,l3100515,8,
333,Mahikeng / Mafikeng,mahikeng-mafikeng,l3100514,8,
334,Fochville,fochville,l3100692,8,
335,Orkney,orkney,l3100506,8,
336,Mabopane,mabopane,l3100520,8,
337,Mothibistad,mothibistad,l3100661,8,
338,Koster,koster,l3100519,8,
339,Lichtenburg,lichtenburg,l3100513,8,
340,Magaliesburg,magaliesburg,l3100522,8,
341,Vryburg,vryburg,l3100527,8,
342,Mogwase,mogwase,l3100660,8,
343,Ventersdorp,ventersdorp,l3100509,8,
344,Stella,stella,l3100526,8,
345,Christiana,christiana,l3100504,8,
346,Wolmaransstad,wolmaransstad,l3100510,8,
347,Mmbatho,mmbatho,l3100659,8,
348,Delareyville,delareyville,l3100512,8,
349,Schweizer-Reneke,schweizer+reneke,l3100525,8,
350,Bloemhof,bloemhof,l3100503,8,
351,Bray,bray,l3100524,8,
352,Reivilo,reivilo,l3100663,8,
353,Ottosdal / Letsopa,ottosdal-letsopa,l3100693,8,
354,Pomfret,pomfret,l3100662,8,
355,Northern Suburbs,northern-suburbs,l3100007,9,
356,Goodwood,goodwood,l3100190,9,355
357,Bellville,bellville,l3100037,9,355
358,Durbanville,durbanville,l3100038,9,355
359,Parow,parow,l3100204,9,355
360,Brackenfell,brackenfell,l3100189,9,355
361,Milnerton,milnerton,l3100064,9,355
362,Kuils River,kuils-river,l3100191,9,355
363,Kraaifontein,kraaifontein,l3100188,9,355
364,Edgemead,edgemead,l3100309,9,355
365,Plattekloof,plattekloof,l3100723,9,355
366,Montague Gardens,montague-gardens,l3100714,9,355
367,Buh rein,buh-rein,l3100727,9,355
368,Cape Town,cape-town,l3100006,9,
369,Century City,century-city,l3100536,9,368
370,Woodstock,woodstock,l3100274,9,368
371,Higgovale,higgovale,l3100286,9,368
372,Salt River,salt-river,l3100288,9,368
373,Maitland,maitland,l3100719,9,368
374,Gardens,gardens,l3100031,9,368
375,De Waterkant,de-waterkant,l3100275,9,368
376,Foreshore,foreshore,l3100287,9,368
377,Tamboerskloof,tamboerskloof,l3100034,9,368
378,Vredehoek,vredehoek,l3100035,9,368
379,Oranjezicht,oranjezicht,l3100285,9,368
380,University Estate,university-estate,l3100289,9,368
381,Bo-Kaap,bo+kaap,l3100290,9,368
382,Devils Peak,devils-peak,l3100030,9,368
383,Southern Suburbs,southern-suburbs,l3100008,9,
384,Wynberg  Plumstead,wynberg-plumstead,l3100049,9,383
385,Claremont  Newlands,claremont-newlands,l3100041,9,383
386,Plumstead,plumstead,l3100320,9,383
387,Rondebosch,rondebosch,l3100047,9,383
388,Crawford,crawford,l3100589,9,383
389,Tokai,tokai,l3100048,9,383
390,Diep River,diep-river,l3100043,9,383
391,Lansdowne,lansdowne,l3100590,9,383
392,Observatory,observatory,l3100319,9,383
393,Grassy Park,grassy-park,l3100716,9,383
394,Kenilworth,kenilworth,l3100044,9,383
395,Constantia,constantia,l3100042,9,383
396,Ottery,ottery,l3100740,9,383
397,Kenwyn,kenwyn,l3100316,9,383
398,Retreat,retreat,l3100321,9,383
399,Mowbray,mowbray,l3100314,9,383
400,Pinelands,pinelands,l3100707,9,383
401,Heathfield,heathfield,l3100315,9,383
402,Bergvliet,bergvliet,l3100717,9,383
403,Meadowridge,meadowridge,l3100317,9,383
404,Kirstenhof,kirstenhof,l3100735,9,383
405,Thornton,thornton,l3100720,9,383
406,West Coast,west-coast,l3100010,9,
407,Blouberg,blouberg,l3100061,9,406
408,Tableview,tableview,l3100529,9,406
409,Parklands,parklands,l3100530,9,406
410,Langebaan,langebaan,l3100062,9,406
